hprd_interaction_id	interactor_hprd_id	interactor_geneSymbol	interactor_refseq_id	experiment_type	reference_id
COM_1068	09508	MPP5	NP_071919.2	in vivo	12527193,12771187
COM_1068	16749	CRB3	NP_777377.1	in vivo	12527193,12771187
COM_1073	04520	BIRC5	NP_001012271.1	in vitro;in vivo	12925766
COM_1073	05103	INCENP	NP_001035784.1	in vitro;in vivo	12925766
COM_1073	05397	AURKB	NP_004208.2	in vitro;in vivo	12925766
COM_1075	04538	SMARCA5	NP_003592.2	in vivo	11980720
COM_1075	10416	BAZ1B	BAA89210.1	in vivo	11980720
COM_1075	12034	BAZ1A	BAA89209.1	in vivo	11980720
COM_108	00246	CACNA1C	NP_955630.2	in vitro	12181424
COM_108	11879	CACNB3	NP_000716.2	in vitro	12181424
COM_108	12182	CACNA2D4	NP_758952.4	in vitro	12181424
COM_1083	04613	DPM1	NP_003850.1	in vitro;in vivo	10835346
COM_1083	16028	DPM2	NP_003854.1	in vitro;in vivo	10835346
COM_1083	16179	DPM3	NP_061846.2	in vitro;in vivo	10835346
COM_1084	04621	RNGTT	NP_003791.3	in vitro	9705270
COM_1084	04622	RNMT	NP_003790.1	in vitro	9705270
COM_1084	08916	POLR2A	NP_000928.1	in vitro	9705270
COM_1088	04639	AP1M1	NP_001123996.1	in vitro	11106728
COM_1088	04637	AP1G1	NP_001025178.1	in vitro	11106728
COM_1088	09256	KIF13A	NP_071396.4	in vitro	11106728
COM_1088	02541	AP1B1	NP_001118.3	in vitro	11106728
COM_1088	01106	M6PR	NP_002346.1	in vitro	11106728
COM_109	00252	CANX	NP_001737.1	in vitro	9295027
COM_109	00628	ITGB1	NP_391987.1	in vitro	9295027
COM_109	00880	CD9	NP_001760.1	in vitro	9295027
COM_1090	04638	AP1G2	NP_536806.1	in vitro	12505986
COM_1090	04684	RABEP1	NP_004694.2	in vitro	12505986
COM_1090	11477	RABGEF1	BAC87138.1	in vitro	12505986
COM_1096	04710	TRPC6	NP_004612.2	in vivo	12377790,12032305
COM_1096	04777	TRPM2	NP_003298.1	in vivo	12377790,12032305
COM_1096	15999	TRPC3	NP_001124170.1	in vivo	12377790,12032305
COM_1098	10936	ELP3	NP_060561.3		11714725
COM_1098	15443	ELP2	NP_060725.1		11714725
COM_1098	04763	IKBKAP	NP_003631.2		11714725
COM_11	00022	RFC4	NP_002907.1	in vitro;in vivo	12192049
COM_11	00024	RFC1	NP_002904.3	in vitro;in vivo	12192049
COM_11	02675	RFC2	NP_852136.1	in vitro;in vivo	12192049
COM_11	02676	RFC3	NP_002906.1	in vitro;in vivo	12192049
COM_11	02677	RFC5	NP_031396.1	in vitro;in vivo	12192049
COM_11	10574	BRD4	NP_490597.1	in vitro;in vivo	12192049
COM_110	00252	CANX	NP_001737.1	in vivo	8549676
COM_110	01447	TTR	NP_000362.1	in vivo	8549676
COM_110	01580	RBP4	NP_006735.2	in vivo	8549676
COM_1112	05023	ACTR2	NP_001005386.1	in vitro;in vivo	9889097
COM_1112	05024	ACTR3	NP_005712.1	in vitro;in vivo	9889097
COM_1112	05434	WASF1	NP_003922.1	in vitro;in vivo	9889097
COM_1114	05023	ACTR2	NP_001005386.1	in vitro	15247266
COM_1114	05024	ACTR3	NP_005712.1	in vitro	15247266
COM_1114	10434	EHD2	NP_055416.2	in vitro	15247266
COM_1124	05055	MED1	NP_004765.2	in vivo	14983011
COM_1124	14380	MED25	NP_112235.2	in vivo	14983011
COM_1124	04422	CDK8	NP_001251.1	in vivo	14983011
COM_1124	04284	MED6	NP_005457.2	in vivo	14983011
COM_1129	05087	BECN1	NP_003757.1	in vitro;in vivo	12372286
COM_1129	06024	GOPC	NP_065132.1	in vitro;in vivo	12372286
COM_1129	06781	GRID2	NP_001501.2	in vitro;in vivo	12372286
COM_113	00277	CSNK2A1	NP_001886.1	in vitro	9407077
COM_113	00279	CSNK2A2	NP_001887.1	in vitro	9407077
COM_113	04028	PPP1R8	NP_054829.2	in vitro	9407077
COM_1130	05140	TRIP4	NP_057297.2	in vitro;in vivo	12077347
COM_1130	09980	ASCC3	NP_006819.2	in vitro;in vivo	12077347
COM_1130	12497	ASCC1	BAC04299.1	in vitro;in vivo	12077347
COM_1130	16515	ASCC2	NP_115580.2	in vitro;in vivo	12077347
COM_1133	05146	COPS2	NP_001137359.1	in vitro	11337588
COM_1133	06888	COPS5	NP_006828.2	in vitro	11337588
COM_1133	07218	CUL4A	NP_001008895.1	in vitro	11337588
COM_1133	07262	COPS3	NP_003644.2	in vitro	11337588
COM_1133	09888	COPS4	NP_057213.2	in vitro	11337588
COM_1133	15991	GPS1	NP_997657.1	in vitro	11337588
COM_1133	16735	COPS6	NP_006824.2	in vitro	11337588
COM_1133	16736	COPS7A	NP_057403.1	in vitro	11337588
COM_1133	16737	COPS8	NP_006701.1	in vitro	11337588
COM_1134	05146	COPS2	NP_001137359.1	in vivo	9535219,12220626
COM_1134	06888	COPS5	NP_006828.2	in vivo	9535219,12220626
COM_1134	07262	COPS3	NP_003644.2	in vivo	9535219,12220626
COM_1134	09888	COPS4	NP_057213.2	in vivo	9535219,12220626
COM_1134	15991	GPS1	NP_997657.1	in vivo	9535219,12220626
COM_1134	16735	COPS6	NP_006824.2	in vivo	9535219,12220626
COM_1134	16736	COPS7A	NP_057403.1	in vivo	9535219,12220626
COM_1134	16737	COPS8	NP_006701.1	in vivo	9535219,12220626
COM_1135	05153	BLNK	NP_037446.1	in vitro	12514734
COM_1135	09304	LAT2	NP_071323.1	in vitro	12514734
COM_1135	02570	PLCG2	AAH11772.1	in vitro	12514734
COM_1135	01398	PLCG1	NP_002651.2	in vitro	12514734
COM_1135	00150	GRB2	NP_002077.1	in vitro	12514734
COM_114	00279	CSNK2A2	NP_001887.1	in vivo	10806215
COM_114	00286	CTNNB1	NP_001895.1	in vivo	10806215
COM_114	03690	DVL2	NP_004413.1	in vivo	10806215
COM_115	00283	TYRP1	NP_000541.1	in vivo	8040609
COM_115	01864	DCT	NP_001123361.1	in vivo	8040609
COM_115	06086	TYR	NP_000363.1	in vivo	8040609
COM_1151	05515	RAMP1	NP_005846.1	in vivo	11754963
COM_1151	05516	RAMP2	NP_005845.2	in vivo	11754963
COM_1151	12089	CRCP	NP_055293.1	in vivo	11754963
COM_1159	03143	HDAC1	NP_004955.2	in vitro	10933397,9150134
COM_1159	09690	SIN3A	NP_056292.1	in vitro	10933397,9150134
COM_1159	05521	HDAC2	NP_001518.2	in vitro	10933397,9150134
COM_1159	10369	CABIN1	NP_036427.1	in vitro	10933397,9150134
COM_116	00285	CTNNA1	NP_001894.2	in vivo	11179419
COM_116	00286	CTNNB1	NP_001895.1	in vivo	11179419
COM_116	01885	CDH1	BAA88957.1	in vivo	11179419
COM_116	03741	SDCBP	NP_005616.2	in vivo	11179419
COM_1162	05785	UNC13B	NP_006368.3	in vitro;in vivo	12163476
COM_1162	09435	RIMS1	NP_055804.2	in vitro;in vivo	12163476
COM_1162	10810	ERC2	NP_056391.1	in vitro;in vivo	12163476
COM_1167	06072	SCAMP1	NP_004857.4	in vivo	9224770
COM_1167	06073	SCAMP2	NP_005688.2	in vivo	9224770
COM_1167	06074	SCAMP3	NP_005689.2	in vivo	9224770
COM_1171	06113	DCP1A	NP_060873.3	in vitro	12417715
COM_1171	10405	UPF2	NP_542166.1	in vitro	12417715
COM_1171	03254	UPF1	Q92900	in vitro	12417715
COM_1171	02247	UPF3B	NP_542199.1	in vitro	12417715
COM_1171	09274	UPF3A	NP_075387.1	in vitro	12417715
COM_1173	07169	CAMK4	NP_001735.1	in vitro;in vivo	10681496
COM_1173	06178	PPAP2A	NP_795714.1	in vitro;in vivo	10681496
COM_1173	11613	STRN3	NP_001077362.1	in vitro;in vivo	10681496
COM_1177	06274	POLE3	NP_059139.3	in vitro;in vivo	10880450
COM_1177	06275	CHRAC1	NP_059140.1	in vitro;in vivo	10880450
COM_1177	12034	BAZ1A	BAA89209.1	in vitro;in vivo	10880450
COM_1178	06274	POLE3	NP_059139.3	in vivo	10801849
COM_1178	16007	POLE2	NP_002683.2	in vivo	10801849
COM_1178	16238	POLE4	NP_063949.2	in vivo	10801849
COM_1179	06277	NDC80	NP_006092.1	in vivo	14699129
COM_1179	10817	NUF2	NP_663735.2	in vivo	14699129
COM_1179	15464	SPC24	NP_872319.1	in vivo	14699129
COM_1179	15465	SPC25	NP_065726.1	in vivo	14699129
COM_1183	06303	DCTN3	NP_009165.1	in vivo	10671518
COM_1183	07206	DCTN1	NP_004073.2	in vivo	10671518
COM_1183	09568	DCTN2	NP_006391.1	in vivo	10671518
COM_1183	13126	DCTN4	NP_001129115.1	in vivo	10671518
COM_1184	01504	PRKCZ	NP_002735.3	in vitro	15254234
COM_1184	06316	PARD6A	NP_058644.1	in vitro	15254234
COM_1184	11860	ECT2	NP_060568.3	in vitro	15254234
COM_1192	06473	CNKSR2	NP_055742.2	in vitro;in vivo	12390249
COM_1192	09258	DLGAP2	NP_004736.2	in vitro;in vivo	12390249
COM_1192	09930	LRRC7	NP_065845.1	in vitro;in vivo	12390249
COM_1193	06532	CAMK2A	NP_057065.2	in vivo	15044063
COM_1193	16018	SYNGAP1	NP_006763.2	in vivo	15044063
COM_1193	16826	DLGAP4	NP_055717.2	in vivo	15044063
COM_1197	06715	SEC61B	NP_006799.1	in vitro	10212142
COM_1197	15316	SEC61A1	NP_037468.1	in vitro	10212142
COM_1197	15317	SEC61A2	NP_060614.2	in vitro	10212142
COM_1197	15318	SEC61G	NP_055117.1	in vitro	10212142
COM_1198	06715	SEC61B	NP_006799.1	in vitro	10212142
COM_1198	15316	SEC61A1	NP_037468.1	in vitro	10212142
COM_1198	15318	SEC61G	NP_055117.1	in vitro	10212142
COM_1199	06715	SEC61B	NP_006799.1	in vitro	10212142
COM_1199	15317	SEC61A2	NP_060614.2	in vitro	10212142
COM_1199	15318	SEC61G	NP_055117.1	in vitro	10212142
COM_12	00022	RFC4	NP_002907.1	in vitro;in vivo	12930902
COM_12	02675	RFC2	NP_852136.1	in vitro;in vivo	12930902
COM_12	02676	RFC3	NP_002906.1	in vitro;in vivo	12930902
COM_12	02677	RFC5	NP_031396.1	in vitro;in vivo	12930902
COM_12	13059	CHTF18	NP_071375.1	in vitro;in vivo	12930902
COM_12	13123	DSCC1	NP_076999.2	in vitro;in vivo	12930902
COM_12	16797	CHTF8	NP_060274.3	in vitro;in vivo	12930902
COM_120	00286	CTNNB1	NP_001895.1	in vitro;in vivo	9214391
COM_120	01885	CDH1	BAA88957.1	in vitro;in vivo	9214391
COM_120	03002	TJP1	NP_003248.3	in vitro;in vivo	9214391
COM_1200	06794	RBX1	NP_055063.1	in vitro	14739464
COM_1200	07218	CUL4A	NP_001008895.1	in vitro	14739464
COM_1200	13140	DET1	NP_060466.2	in vitro	14739464
COM_1208	07022	IPO4	NP_078934.3	in vitro	12655004
COM_1208	10404	MPHOSPH10	NP_005782.1	in vitro	12655004
COM_1208	12664	IMP3	NP_060755.1	in vitro	12655004
COM_1213	07214	KIF5B	NP_004512.1	in vitro	9624122
COM_1213	09108	KIF5A	NP_004975.2	in vitro	9624122
COM_1213	13917	KLC2	NP_073733.1	in vitro	9624122
COM_1220	07258	EXOC5	NP_006535.1	in vitro;in vivo	9655500,12687004,9405631
COM_1220	07615	EXOC1	NP_060731.2	in vitro;in vivo	9655500,12687004,9405631
COM_1220	09738	EXOC3	NP_009208.2	in vitro;in vivo	9655500,12687004,9405631
COM_1220	09943	EXOC8	NP_787072.2	in vitro;in vivo	9655500,12687004,9405631
COM_1220	10216	EXOC6	AAH28395.2	in vitro;in vivo	9655500,12687004,9405631
COM_1220	11544	EXOC2	NP_060773.3	in vitro;in vivo	9655500,12687004,9405631
COM_1220	12185	EXOC4	NP_068579.3	in vitro;in vivo	9655500,12687004,9405631
COM_1220	16292	EXOC7	NP_001138769.1	in vitro;in vivo	9655500,12687004,9405631
COM_1221	07258	EXOC5	NP_006535.1	in vitro	14525976
COM_1221	07615	EXOC1	NP_060731.2	in vitro	14525976
COM_1221	10216	EXOC6	AAH28395.2	in vitro	14525976
COM_1221	11544	EXOC2	NP_060773.3	in vitro	14525976
COM_1221	12185	EXOC4	NP_068579.3	in vitro	14525976
COM_1223	18516	RTN3	NP_958831.1	in vivo	15286784
COM_1223	07259	RTN4	NP_065393.1	in vivo	15286784
COM_1223	07255	BACE1	NP_036236.1	in vivo	15286784
COM_1223	04421	RTN2	NP_005610.1	in vivo	15286784
COM_1223	02921	RTN1	NP_066959.1	in vivo	15286784
COM_1224	09739	REC8	NP_005123.2	in vitro	12759374
COM_1224	05829	SMC3	NP_005436.1	in vitro	12759374
COM_1224	07265	SYCP3	NP_710161.1	in vitro	12759374
COM_1224	10564	SMC1B	NP_683515.3	in vitro	12759374
COM_1225	03255	SKP1	NP_733779.1	in vitro	12481031
COM_1225	16427	FBXW8	NP_699179.2	in vitro	12481031
COM_1225	09901	CUL7	NP_055595.2	in vitro	12481031
COM_1225	06794	RBX1	NP_055063.1	in vitro	12481031
COM_123	00286	CTNNB1	NP_001895.1	in vitro	9482734
COM_123	04819	AXIN1	NP_003493.1	in vitro	9482734
COM_123	05418	GSK3B	NP_002084.2	in vitro	9482734
COM_1232	07371	COG1	NP_061184.1	in vitro;in vivo	11980916,15047703,11929878
COM_1232	07372	COG2	NP_031383.1	in vitro;in vivo	11980916,15047703,11929878
COM_1232	07373	COG7	NP_705831.1	in vitro;in vivo	11980916,15047703,11929878
COM_1232	07374	COG8	NP_115758.3	in vitro;in vivo	11980916,15047703,11929878
COM_1232	08436	COG5	NP_006339.3	in vitro;in vivo	11980916,15047703,11929878
COM_1232	08443	COG3	NP_113619.1	in vitro;in vivo	11980916,15047703,11929878
COM_1232	08444	COG4	NP_056201.2	in vitro;in vivo	11980916,15047703,11929878
COM_1232	08445	COG6	NP_065802.1	in vitro;in vivo	11980916,15047703,11929878
COM_124	00286	CTNNB1	NP_001895.1	in vitro	9566905
COM_124	04935	AXIN2	NP_004646.3	in vitro	9566905
COM_124	05418	GSK3B	NP_002084.2	in vitro	9566905
COM_1240	08496	ATG12	NP_004698.2	in vivo	12665549
COM_1240	16051	ATG5	NP_004840.1	in vivo	12665549
COM_1240	16498	ATG16L1	NP_110430.5	in vivo	12665549
COM_125	00286	CTNNB1	NP_001895.1	in vivo	10947987
COM_125	05559	ARHGEF4	NP_056135.2	in vivo	10947987
COM_125	01439	APC	NP_000029.2	in vivo	10947987
COM_1256	09053	SFRS9	NP_003760.1	in vivo	11118435
COM_1256	11689	YTHDC1	AAH41119.1	in vivo	11118435
COM_1256	10007	KHDRBS3	NP_006549.1	in vivo	11118435
COM_1265	09113	MAPK13	NP_002745.1	in vitro	12244047
COM_1265	09674	MAPK8IP2	NP_036456.1	in vitro	12244047
COM_1265	02090	FGF13	NP_001132972.1	in vitro	12244047
COM_1268	09141	CDK17	NP_002586.2	in vivo	11527406
COM_1268	11626	TDRD7	NP_055105.2	in vivo	11527406
COM_1268	16461	CABLES1	NP_001094089.1	in vivo	11527406
COM_127	00289	CTSG	NP_001902.1	in vitro	8400294
COM_127	01428	ITGB3	NP_000203.2	in vitro	8400294
COM_127	06377	ITGA2B	NP_000410.2	in vitro	8400294
COM_1274	09168	THOC4	NP_005773.3	in vitro	11979277
COM_1274	09498	THOC1	NP_005122.2	in vitro	11979277
COM_1274	00805	BAT1	NP_004631.1	in vitro	11979277
COM_1274	09497	THOC3	NP_115737.1	in vitro	11979277
COM_1274	02317	THOC2	NP_001075019.1	in vitro	11979277
COM_1276	09168	THOC4	NP_005773.3	in vitro	11979277
COM_1276	10861	DDX39	NP_005795.2	in vitro	11979277
COM_1276	02317	THOC2	NP_001075019.1	in vitro	11979277
COM_1276	09498	THOC1	NP_005122.2	in vitro	11979277
COM_1276	09497	THOC3	NP_115737.1	in vitro	11979277
COM_128	00296	CEBPA	NP_004355.2	in vitro	10082561
COM_128	00310	CDK2	NP_001789.2	in vitro	10082561
COM_128	00312	RBL1	NP_002886.2	in vitro	10082561
COM_128	01792	TFDP1	NP_009042.1	in vitro	10082561
COM_128	02806	E2F4	NP_001941.2	in vitro	10082561
COM_1286	05227	TBCD	NP_005984.3	in vitro	12912990
COM_1286	04384	PPP2R1B	NP_859050.1	in vitro	12912990
COM_1286	05059	PPP2R2B	NP_858062.1	in vitro	12912990
COM_1286	09345	PPP2R2C	NP_065149.2	in vitro	12912990
COM_1286	11869	ARL2	NP_001658.2	in vitro	12912990
COM_129	00296	CEBPA	NP_004355.2	in vitro;in vivo	12757710
COM_129	01574	RB1	NP_000312.2	in vitro;in vivo	12757710
COM_129	02483	SMARCA2	NP_003061.3	in vitro;in vivo	12757710
COM_129	02806	E2F4	NP_001941.2	in vitro;in vivo	12757710
COM_13	00022	RFC4	NP_002907.1	in vitro;in vivo	12930902,12766176,12171929
COM_13	02675	RFC2	NP_852136.1	in vitro;in vivo	12930902,12766176,12171929
COM_13	02676	RFC3	NP_002906.1	in vitro;in vivo	12930902,12766176,12171929
COM_13	02677	RFC5	NP_031396.1	in vitro;in vivo	12930902,12766176,12171929
COM_13	13059	CHTF18	NP_071375.1	in vitro;in vivo	12930902,12766176,12171929
COM_13	16797	CHTF8	NP_060274.3	in vitro;in vivo	12930902,12766176,12171929
COM_130	00298	CDKN1A	NP_510867.1	in vitro;in vivo	11559705
COM_130	00302	CDK1	NP_001777.1	in vitro;in vivo	11559705
COM_130	00454	CCNB1	NP_114172.1	in vitro;in vivo	11559705
COM_130	01456	PCNA	NP_002583.1	in vitro;in vivo	11559705
COM_1301	10576	TSEN2	NP_079541.1	in vivo	15109492
COM_1301	12291	TSEN54	NP_997229.2	in vivo	15109492
COM_1301	12292	TSEN15	NP_443197.1	in vivo	15109492
COM_1301	09544	HEXIM1	NP_006451.1	in vivo	15109492
COM_1301	10038	TSEN34	NP_076980.2	in vivo	15109492
COM_131	00298	CDKN1A	NP_510867.1	in vivo	11175348
COM_131	00310	CDK2	NP_001789.2	in vivo	11175348
COM_131	00455	CCNE1	NP_001229.1	in vivo	11175348
COM_131	05669	PRKCH	NP_006246.2	in vivo	11175348
COM_132	00298	CDKN1A	NP_510867.1	in vivo	8101826
COM_132	00310	CDK2	NP_001789.2	in vivo	8101826
COM_132	01346	CCND1	NP_444284.1	in vivo	8101826
COM_132	01456	PCNA	NP_002583.1	in vivo	8101826
COM_1326	10371	DBF4	NP_006707.1	in vitro;in vivo	10523313,12614612
COM_1326	03544	ORC1L	NP_004144.2	in vitro;in vivo	10523313,12614612
COM_1326	10345	CDC7	NP_003494.1	in vitro;in vivo	10523313,12614612
COM_1326	09086	ORC5L	NP_002544.1	in vitro;in vivo	10523313,12614612
COM_1326	03112	ORC2L	NP_006181.1	in vitro;in vivo	10523313,12614612
COM_1326	06237	ORC6L	NP_055136.1	in vitro;in vivo	10523313,12614612
COM_1326	09118	ORC4L	NP_002543.2	in vitro;in vivo	10523313,12614612
COM_1328	10350	KHSRP	NP_003676.2	in vivo	11719186,15175153
COM_1328	16220	EXOSC3	NP_057126.2	in vivo	11719186,15175153
COM_1328	07250	PARN	NP_002573.1	in vivo	11719186,15175153
COM_1328	03758	EXOSC2	NP_055100.2	in vivo	11719186,15175153
COM_133	00298	CDKN1A	NP_510867.1	in vivo	10878006
COM_133	00310	CDK2	NP_001789.2	in vivo	10878006
COM_133	16542	BCCIP	NP_057651.1	in vivo	10878006
COM_134	00298	CDKN1A	NP_510867.1	in vitro;in vivo	11254741,9396813
COM_134	00447	CDK4	NP_000066.1	in vitro;in vivo	11254741,9396813
COM_134	00449	CDK5	NP_004926.1	in vitro;in vivo	11254741,9396813
COM_134	00535	TOP1	NP_003277.1	in vitro;in vivo	11254741,9396813
COM_134	01456	PCNA	NP_002583.1	in vitro;in vivo	11254741,9396813
COM_134	01565	RPA1	NP_002936.1	in vitro;in vivo	11254741,9396813
COM_134	04386	DHX9	NP_001348.2	in vitro;in vivo	11254741,9396813
COM_135	00301	NCAM1	NP_851996.2	in vitro	9079653
COM_135	00655	FYN	NP_002028.1	in vitro	9079653
COM_135	02859	PTK2	NP_005598.3	in vitro	9079653
COM_1355	11522	RPAP1	NP_056355.2	in vivo	15282305
COM_1355	15943	POLR2B	NP_000929.1	in vivo	15282305
COM_1355	15945	POLR2C	NP_116558.1	in vivo	15282305
COM_1356	04310	TRRAP	NP_003487.1	in vivo	10373431
COM_1356	07060	TAF2	NP_003175.1	in vivo	10373431
COM_1356	03807	KAT2A	NP_066564.2	in vivo	10373431
COM_1356	11619	TAF5L	NP_055224.1	in vivo	10373431
COM_1356	03784	TADA2A	NP_001479.3	in vivo	10373431
COM_1356	04252	TADA3	NP_006345.1	in vivo	10373431
COM_1356	04254	SUPT3H	O75486	in vivo	10373431
COM_1356	11797	TAF4	NP_003176.2	in vivo	10373431
COM_1356	11876	TAF5	NP_008882.2	in vivo	10373431
COM_136	00302	CDK1	NP_001777.1	in vitro;in vivo	12775724
COM_136	02262	REPS2	Q8NFH8	in vitro;in vivo	12775724
COM_136	00454	CCNB1	NP_114172.1	in vitro;in vivo	12775724
