00003	ALDH2	NP_000681.2	Alcohol sensitivity, acute	16440063,6582480,4065146,2987944,7593603,8903321,10780266,15654505,10627091,16046871
00030	ACTA1	NP_001091.1	Myopathy, actin, congenital, with excess of thin myofilaments	9185179,10508519
00032	ACTB	NP_001092.1	Dystonia, juvenile-onset	12325076,16685646
00036	ADD1	NP_054908.2	Hypertension, salt-sensitive essential, susceptibility to	9149697
00038	ADA	NP_000013.2	Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency, delayed onset	11807006
00038	ADA	NP_000013.2	Adenosine deaminase deficiency, partial	2783588,2166947,8051429,9225964
00038	ADA	NP_000013.2	Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency	46025,3007108,3182793,1974554,3839802,3475710,9414266,2773932,1346349,3684597,3366897,1696926,9361033,2166947,1680289,980079,498598,1284479,8120281,8178821,8031011,8614422,8673127
00038	ADA	NP_000013.2	Adenosine deaminase 2 allozyme	8031011,11354825
00038	ADA	NP_000013.2	Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency, late-onset	8227344,11807006
00038	ADA	NP_000013.2	Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency, late onset	8227344,8673127
00038	ADA	NP_000013.2	Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency, B cell-negative, NK cell-negative, due to ada deficiency	9361033,3304460
00040	AMPD1	NP_000027.1	AMPD deficiency	1631143,11102975,10996775
00041	AMPD3	NP_000471.1	AMP deaminase deficiency of erythrocyte	8004104
00046	AK1	NP_000467.1	Adenylate kinase deficiency, hemolytic anemia due to	2542324,10233365
00049	ADSL	NP_000017.1	Adenylosuccinase deficiency	1302001,10090474,10888601,9545543,8598641,9197470,12016589
00058	SLC25A4	NP_001142.2	Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant, 2	10926541,8644740,10364542,11756613,12112115
00062	ALB	NP_000468.1	Analbuminemia	11781148
00062	ALB	NP_000468.1	Albumin Sondria	1347703
00062	ALB	NP_000468.1	Albumin Rugby Park	1390939
00062	ALB	NP_000468.1	Albumin Malmo 47	1518850
00062	ALB	NP_000468.1	Albumin Malmo 10	1518850
00062	ALB	NP_000468.1	Albumin Malmo 95	1518850
00062	ALB	NP_000468.1	Albumin Malmo 5	1518850
00062	ALB	NP_000468.1	Albumin Dublin	1819460
00062	ALB	NP_000468.1	Albumin Casebrook	1859851
00062	ALB	NP_000468.1	Albumin Iowa City 1	1946412
00062	ALB	NP_000468.1	Albumin Ghent	2247440
00062	ALB	NP_000468.1	Albumin Vibo Valentia	2247440
00062	ALB	NP_000468.1	Albumin Torino	2247440
00062	ALB	NP_000468.1	Albumin Castel di Sangro	2247440
00062	ALB	NP_000468.1	Proalbumin Malmo	2339130
00062	ALB	NP_000468.1	Albumin Redhill	2339130
00062	ALB	NP_000468.1	Albumin Fukuoka 1	2404284
00062	ALB	NP_000468.1	Albumin Osaka 1	2404284
00062	ALB	NP_000468.1	Albumin Nagoya	2404284
00062	ALB	NP_000468.1	Albumin Bremen	2404284,2339130,1946412
00062	ALB	NP_000468.1	Albumin Honolulu 2	2404284,683332
00062	ALB	NP_000468.1	Albumin Porto Alegre 1	2564675
00062	ALB	NP_000468.1	Albumin Hiroshima 1	2564675
00062	ALB	NP_000468.1	Albumin Nagasaki 1	2564675
00062	ALB	NP_000468.1	Albumin Hiroshima 2	2564675
00062	ALB	NP_000468.1	Albumin Tochigi	2564675
00062	ALB	NP_000468.1	Albumin Osaka 2	2564675,2247440
00062	ALB	NP_000468.1	Albumin Fukuoka 2	2564675,3474609,7297678,2898383,2247440
00062	ALB	NP_000468.1	Proalbumin Jaffna	2792379
00062	ALB	NP_000468.1	Albumin Vanves	2898383
00062	ALB	NP_000468.1	Albumin Roma	2898383,2247440
00062	ALB	NP_000468.1	Albumin New Guinea	2901102,2247440
00062	ALB	NP_000468.1	Albumin Venezia	2914956,2247440
00062	ALB	NP_000468.1	Albumin GE/CT	3081519,2247440
00062	ALB	NP_000468.1	Analbuminemia, American Indian type	3353369
00062	ALB	NP_000468.1	Albumin Honolulu 1	3474609
00062	ALB	NP_000468.1	Albumin Nagasaki 3	3474609
00062	ALB	NP_000468.1	Albumin Yanomama 2	3474609
00062	ALB	NP_000468.1	Albumin Nagasaki 2	3474609,2564675
00062	ALB	NP_000468.1	Albumin Maku	3474609,2564675
00062	ALB	NP_000468.1	Albumin Parklands	4027254
00062	ALB	NP_000468.1	Albumin Lambadi	6933567,2901102
00062	ALB	NP_000468.1	Albumin Mexico 2	6933567,3474609
00062	ALB	NP_000468.1	Albumin Mersin	6933567,3474609
00062	ALB	NP_000468.1	Albumin Asola	7882997
00062	ALB	NP_000468.1	Albumin Ortonovo	7902134
00062	ALB	NP_000468.1	Albumin Tradate 2	8022807
00062	ALB	NP_000468.1	Albumin Bazzano	8022807
00062	ALB	NP_000468.1	Albumin Caserta	8022807
00062	ALB	NP_000468.1	Albumin Larino	8022807
00062	ALB	NP_000468.1	Dysalbuminemic hyperthyroxinemia	8064810,11743520,9329347,9589637
00062	ALB	NP_000468.1	Analbuminemia Roma	8134387
00062	ALB	NP_000468.1	Albumin Hawkes Bay	8347685
00062	ALB	NP_000468.1	Albumin Herborn	8513793
00065	ADH1B	NP_000659.2	Alcohol dehydrogenase, beta subunit, Indianapolis	3619918
00065	ADH1B	NP_000659.2	Alcohol dehydrogenase, beta subunit, 'typical'/'atypical'	2547609,2398055,11545539,12244546,9603606,9603607,10090900,12452180,15534263,15863807,17273965
00066	ADH1C	NP_000660.1	Parkinson disease, susceptibility to	15642852
00066	ADH1C	NP_000660.1	Alcohol dehydrogenase, gamma-2 type	15863807
00066	ADH1C	NP_000660.1	Alcohol dehydrogenase, gamma-1 type	3758060,3397059
00070	ALDOA	NP_000025.1	Aldolase deficiency of red cells	2825199
00070	ALDOA	NP_000025.1	Myopathy and hemolytic anemia	8598869
00072	A2M	NP_000005.2	Alpha-2-macroglobulin polymorphism	1370808,9811940,15023809,1374237,1717945
00072	A2M	NP_000005.2	Alzheimer disease, susceptibility to	1717945,9697696
00074	AFP	NP_001125.1	Alpha-fetoprotein deficiency	15280901
00074	AFP	NP_001125.1	Alpha-fetoprotein, hereditary persistence of	7684942
00075	ZFHX3	NP_008816.3	Prostate cancer	15750593
00076	NAGA	NP_000253.1	Schindler disease, type I	2243144,8782044,11313741
00076	NAGA	NP_000253.1	Kanzaki disease	8040340,8782044,7707696,2372288,11251574
00076	NAGA	NP_000253.1	Schindler disease, type III	8071745,8782044,2372288
00085	ADRA2C	NP_000674.2	Congestive heart failure, susceptibility to	12374873
00087	PSEN1	NP_000012.1	Dementia, frontotemporal	11094121
00087	PSEN1	NP_000012.1	Alzheimer disease, familial, 3, with spastic paraparesis and apraxia	11920851,15534188
00087	PSEN1	NP_000012.1	Alzheimer disease, familial, 3, with unusual plaques	12493737
00087	PSEN1	NP_000012.1	Pick disease of brain	15122701
00087	PSEN1	NP_000012.1	Alzheimer disease, familial, 3, with spastic paraparesis and unusual plaques	15159497,15732120
00087	PSEN1	NP_000012.1	Cardiomyopathy, dilated, 1U	17186461
00087	PSEN1	NP_000012.1	Alzheimer disease, familial, 3	7596406,7623584,9712537,15622541,7550356,9126060,12810495,8837617,9052708,11402113,12370477,14557582,8742474,8755489,9546792,9172170,10720282,11198283,8931704,9521423,9007311,9544835,9436726,9443865,10401002,11030797,11027672,11710891,12048239,12484344,15115757,9831473,15534260,12660785,16628450,16897084
00087	PSEN1	NP_000012.1	Alzheimer disease, familial, with spastic paraparesis and unusual plaques	9172170
00090	SLC3A1	NP_000332.2	Cystinuria	8054986,8792820,11748844,12820697,15635077,14531788
00092	ACY1	NP_000657.1	Aminoacylase 1 deficiency	16465618,16274666
00097	SAA1	NP_000322.2	Serum amyloid A variant	1755958,1546977,7655463
00100	APP	NP_000475.1	Amyloidosis, cerebroarterial, hereditary, Italian type	10821838,16178030
00100	APP	NP_000475.1	Amyloidosis, cerebroarterial, hereditary, Iowa type	11409420,12654973
00100	APP	NP_000475.1	APP polymorphism	1634237
00100	APP	NP_000475.1	Alzheimer disease, early-onset, with cerebral amyloid angiopathy	16369530
00100	APP	NP_000475.1	Alzheimer disease, familial, 1	1671712,1678058,1908231,1678057,1679288,1520398,8290965,8886002,1925564,7686976,7845465,10611368,14741101,1944558,1303239,9754958,9848098,11311152,1302033,1465129,8012386,7991571,7489411,9371838,9796810,8810256,1303275,15365148,8154870,9328472,10097173,10441572,1415269,10821838,15502844,11063718,15668448,12034808
00100	APP	NP_000475.1	Amyloidosis, with cerebral hemorrhage, hereditary, Dutch type	2111584,10821838,1679289,9848098
00105	ANG	NP_001136.1	Amyotrophic lateral sclerosis, susceptibility to	16501576
00106	AGT	NP_000020.1	Renal tubular dysgenesis	16116425,11770813
00106	AGT	NP_000020.1	Hypertension, essential, susceptibility to	8518804,7883995,7649545,9421481,9831339,8513325,8348146,16059745,9259580,9120024,13937884,9894356,15077204
00107	AGTR1	NP_114038.1	Stature as a quantitative trait	15126556
00107	AGTR1	NP_114038.1	Renal tubular dysgenesis	16116425
00107	AGTR1	NP_114038.1	Hypertension, essential, susceptibility to	8021009,9084931,15042429
00108	ACE	NP_000780.1	Angiotensin I-converting enzyme, benign serum increase	11551873,11076943,14694062
00108	ACE	NP_000780.1	Angiotensin I-converting enzyme insertion/deletion polymorphism	1328889,2847529,2849100,1319114,1976655,1313972,1386652,8131299,8131300,8136829,8170965,8208911,7854377,8644984,8541160,8675669,8298638,9236417,7593601,9259580,9737775,9916793,10643899,9699903,10099885,10636736,10841123,8314010,7909524,11687636,12220450,11956052,14657821,12666117,14872014,15531537,15635071,15277638,15534175,15126556,15381116,15110771
00108	ACE	NP_000780.1	Renal tubular dysgenesis	16116425
00110	ANK2	NP_001139.3	Long GT syndrome 4	12571597,15178757
00110	ANK2	NP_001139.3	Sick sinus syndrome with bradycardia	15178757,11334825
00113	CD19	NP_001761.3	Antibody deficiency due to defect in CD19	16672701
00115	CD44	NP_000601.3	Indian blood group system polymorphism	8636151,7508860
00117	CD59	NP_000602.1	CD59 deficiency	1691667,1699124,1382994
00120	SERPINA3	NP_001076.2	Antichymotrypsin Isehara 2	1339400
00120	SERPINA3	NP_001076.2	Antichymotrypsin Isehara 1	1618300,9040504,11289720
00120	SERPINA3	NP_001076.2	Antichymotrypsin signal peptide polymorphism	7670501,8617509
00120	SERPINA3	NP_001076.2	Antichymotrypsin Bochum 1	8244391
00120	SERPINA3	NP_001076.2	Antichymotrypsin Bonn 1	8244391,1351206,8102759
00122	SERPINC1	NP_000479.1	Antithrombin deficiency	10361121
00122	SERPINC1	NP_000479.1	Antithrombin 3 deficiency	11713457
00122	SERPINC1	NP_000479.1	At-III Stockholm	1421387
00122	SERPINC1	NP_000479.1	At-III Oslo	14347873,3055413
00122	SERPINC1	NP_000479.1	At-III deficiency	1551681
00122	SERPINC1	NP_000479.1	At-III Budapest	1555650
00122	SERPINC1	NP_000479.1	At-III Budapest 3	1555650
00122	SERPINC1	NP_000479.1	Thrombophilia due to antithrombin III deficiency	1868237,1932746,6572945,1873224,1808766,2229057,1325679,1483709,9845533
00122	SERPINC1	NP_000479.1	At-III Cambridge II	2012760,1906811
00122	SERPINC1	NP_000479.1	At-III Rouen iv	2615648
00122	SERPINC1	NP_000479.1	At-III Basel	3080419,2794060,2615648,2372510
00122	SERPINC1	NP_000479.1	At-III Rouen III	3169232,2615648
00122	SERPINC1	NP_000479.1	At-III Hamilton	3179438,2615648
00122	SERPINC1	NP_000479.1	At-III Avranches	3187951
00122	SERPINC1	NP_000479.1	At-III Utah	3191114
00122	SERPINC1	NP_000479.1	At-III Rouen III	3350974
00122	SERPINC1	NP_000479.1	At-III Barcelona	3363529
00122	SERPINC1	NP_000479.1	At-III Barcelona 2	3413737
00122	SERPINC1	NP_000479.1	At-III Dublin	3472589,1977621,1483705
00122	SERPINC1	NP_000479.1	At-III Denver	3512602,3805013,3141397,2602168
00122	SERPINC1	NP_000479.1	At-III Rouen I	3567355,2615648
00122	SERPINC1	NP_000479.1	At-III Northwick Park	3580302,3238650
00122	SERPINC1	NP_000479.1	At-III Glasgow	3580302,3238650,3360140,2917133,2794060,2781509
00122	SERPINC1	NP_000479.1	At-III Clichy	3663508
00122	SERPINC1	NP_000479.1	At-III Fontainbleau	3775688
00122	SERPINC1	NP_000479.1	At-III Pescara	3828226,2917133
00122	SERPINC1	NP_000479.1	At-III Trento	6208738
00122	SERPINC1	NP_000479.1	At-III Roma	6421671,3424283
00122	SERPINC1	NP_000479.1	At-III Toyama	6582486,3775688,6636045,3563974,6204398,3960724,3715788,3605071,2615648
00122	SERPINC1	NP_000479.1	At-III Charleville	6871107,2794060,2615648,1998601,2093312
00122	SERPINC1	NP_000479.1	At-III Padua 2	6871478
00122	SERPINC1	NP_000479.1	At-III Paris	7082587
00122	SERPINC1	NP_000479.1	At-III Rouen VI	7989582
00122	SERPINC1	NP_000479.1	At-III Nagasaki	8443391
00124	ALDH7A1	NP_001173.2	Epilepsy, pyridoxine-dependent	16491085,17068770
00127	IFNGR1	NP_000407.1	Atypical mycobacterial infection, autosomal dominant	10192386
00127	IFNGR1	NP_000407.1	Bcg infection, generalized familial semibenign	10192386,1248490
00127	IFNGR1	NP_000407.1	Atypical mycobacterial infection, disseminated	10811850
00127	IFNGR1	NP_000407.1	Atypical mycobacterial infection, disseminated familial	10811850
00127	IFNGR1	NP_000407.1	Helicobacter pylori infection, susceptibility to	12516030
00127	IFNGR1	NP_000407.1	Atypical mycobacterial infection, familial disseminated	8960473,9497247,9142806
00127	IFNGR1	NP_000407.1	BCG infection, generalized familial	8960475
00127	IFNGR1	NP_000407.1	BCG infection, tuberculoid, antibiotic-responsive	9389728
00129	APOA2	NP_001634.1	Hypercholesterolemia, familial, modification of	12522687
00129	APOA2	NP_001634.1	Apolipoprotein A-II deficiency, familial, due to APOA-II (Hiroshima)	2107739
00130	APOA4	NP_000473.2	Apolipoprotein A-IV rare variant, APOA4*5	1487136,2351649
00130	APOA4	NP_000473.2	Apolipoprotein A-IV rare variant, APOA4*0	1973689
00130	APOA4	NP_000473.2	Apolipoprotein A-IV rare variant, APOA4*3	1973689
00130	APOA4	NP_000473.2	Apolipoprotein A-IV polymorphism, APOA4*1/APOA4*2	2351649,1349197
00132	APOC3	NP_000031.1	Apolipoprotein c-III deficiency	2022742
00132	APOC3	NP_000031.1	Apolipoprotein c-III, nonglycosylated	3123586,7295752
00133	APOB	NP_000375.2	Hypobetalipoproteinemia, familial, associated with APOB32	1562615
00133	APOB	NP_000375.2	APOB polymorphism in signal peptide	2307462
00133	APOB	NP_000375.2	Hypobetalipoproteinemia, familial, associated with APOB87	2312735
00133	APOB	NP_000375.2	Hypobetalipoproteinemia, familial, associated with APOB31	2312735,2725600
00133	APOB	NP_000375.2	Hypobetalipoproteinemia, familial, associated with APOB40	2574033,2614276
00133	APOB	NP_000375.2	Hypobetalipoproteinemia, familial, associated with APOB90 or APOB89	2574033,2614276,1602000
00133	APOB	NP_000375.2	Hypobetalipoproteinemia, familial, associated with APOB46	2725600,2843815
00133	APOB	NP_000375.2	Hypobetalipoproteinemia, familial, associated with APOB39	2843815
00133	APOB	NP_000375.2	Hypobetalipoproteinemia, familial	3473077,3399894,221546,1454832,2843815,2567736,2022744,1424233,11940084,12124991
00133	APOB	NP_000375.2	Hypercholesterolemia due to ligand-defective apolipoprotein B100	3771801,3477815,3200853,1347103,2563166,1977310,8318993,8478017,2375782,1466657,1360085,8254047,1493642,8723684,9339363,9603795,10952765,11115503,11494965,11781700
00133	APOB	NP_000375.2	Hypobetalipoproteinemia, normotriglyceridemic	7229035,3975124,4031057,2909827,1939657,1731805,15984016
00133	APOB	NP_000375.2	Hypercholesterolemia due to ligand-defective apolipoprotein B	7883971
00135	APOE	NP_000032.1	APOE3(-)-Freiburg	None
00135	APOE	NP_000032.1	Myocardial infarction, susceptibility to	10587578,12774036
00135	APOE	NP_000032.1	Sea-blue histiocyte disease	11095479,16094309
00135	APOE	NP_000032.1	Hyperlipoproteinemia, type III, due to APOE1-Harrisburg	1356443,7635945
00135	APOE	NP_000032.1	Hyperlipoproteinemia, type III, associated with APOE deficiency, autosomal recessive	1360898
00135	APOE	NP_000032.1	Hyperlipoproteinemia, type III, associated with APOE2-Fukuoka	1617762
00135	APOE	NP_000032.1	Hyperlipoproteinemia, type III, due to APOE4-Philadelphia	1674745,1361196
00135	APOE	NP_000032.1	Hypercholesterolemia and hypertriglyceridemia, type III	1713245
00135	APOE	NP_000032.1	Hyperlipoproteinemia, type III	2101409
00135	APOE	NP_000032.1	Dysbetalipoproteinemia due to APOE2	2313204
00135	APOE	NP_000032.1	APOE2-Dunedin	2341812
00135	APOE	NP_000032.1	Hyperlipoproteinemia, type III, associated with APOE7	2738044,2470732,7586659
00135	APOE	NP_000032.1	Hyperlipoproteinemia and atherosclerosis associated with APOE5	2851587,7586659
00135	APOE	NP_000032.1	Hyperlipoproteinemia, type III, associated with APOE deficiency	3029073,6795720,3771793,1361196
00135	APOE	NP_000032.1	Hyperlipoproteinemia, type III, due to APOE2-Christchurch	3038959,3243553
00135	APOE	NP_000032.1	APOE4 variant	3585172,1648586,8488843
00135	APOE	NP_000032.1	Hyperlipoproteinemia, type III, associated with APOE Leiden	3721502,2556398,1864973,8614828
00135	APOE	NP_000032.1	APOE2 isoforms	6289314,2992507,3243553,9649566,16143024
00135	APOE	NP_000032.1	Hyperlipoproteinemia, type III, associated with APOE2	6289314,3243553,8488843
00135	APOE	NP_000032.1	Apolipoproteinemia E1	6323533
00135	APOE	NP_000032.1	APOE3 variant	6327682
00135	APOE	NP_000032.1	Hyperlipoproteinemia, type III, autosomal dominant	6860421,2539388,1730728
00135	APOE	NP_000032.1	Alzheimer disease 2	7263700,3922972,2987927,8350998,8346443,8618665,8644717,11835377,15184602,15557508,15668424,15048896,15096402,10213549,9932938,11940706,11940689,15326261
00135	APOE	NP_000032.1	APOE3 isoform	7263700,6289314,16813599
00135	APOE	NP_000032.1	APOE2 variant	7833947
00135	APOE	NP_000032.1	Hyperlipoproteinemia, type III, associated with APOE4	8488843
00135	APOE	NP_000032.1	APOE4(+)	8488843
00140	AQP1	NP_000376.1	Aquaporin 1 deficiency	7521540
00140	AQP1	NP_000376.1	Colton blood group polymorphism	7521882
00141	AQP2	NP_000477.1	Diabetes insipidus, nephrogenic, autosomal recessive	8140421,7524315,9048343,9745427,9302264,12050236
00141	AQP2	NP_000477.1	Diabetes insipidus, nephrogenic, autosomal dominant	9649557,11536078,11929850
00145	DDC	NP_000781.1	Aromatic l-amino acid decarboxylase deficiency	1357595,15079002
00149	NAT1	NP_000653.3	NAT1*10 allele	7585580,7627961,7585581
00149	NAT1	NP_000653.3	NAT1*17 allele	9168895
00157	ATP2A1	NP_775293.1	Brody myopathy	8841193,9367679,10914677
00160	ATP2B2	NP_001001331.1	Deafness, autosomal recessive 12, modifier of	15829536
00161	ATP2A2	NP_733765.1	Darier disease	10080178,10441325,10441323,12072062,11168576
00161	ATP2A2	NP_733765.1	Darier disease, acral hemorrhagic type	10441324
00161	ATP2A2	NP_733765.1	Darier disease, segmental	11121153
00161	ATP2A2	NP_733765.1	Acrokeratosis verruciformis	12542527
00166	NPR2	NP_003986.2	Acromesomelic dysplasia, maroteaux type	15146390
00175	SLC4A1	NP_000333.1	Spherocytosis, hereditary, due to band 3 Tuscaloosa	1378323
00175	SLC4A1	NP_000333.1	Waldner blood group antigen	8873423
00175	SLC4A1	NP_000333.1	Renal tubular acidosis, autosomal dominant	10926824
00175	SLC4A1	NP_000333.1	Froese blood group antigen	11061863
00175	SLC4A1	NP_000333.1	Swann blood group antigen	11155072
00175	SLC4A1	NP_000333.1	Spherocytosis, hereditary, due to band 3 Cape Town	11380459
00175	SLC4A1	NP_000333.1	Spherocytosis, hereditary, due to band 3 Prague III	11380459,7530501
00175	SLC4A1	NP_000333.1	Spherocytosis, hereditary, due to band 3 Prague ii	16227998,7530501
00175	SLC4A1	NP_000333.1	Ovalocytosis, southeast asian	2146504,1737855,1824272,7919393,10403343,7689982,7949112,14618420
00175	SLC4A1	NP_000333.1	Band 3 Memphis	2146504,893429,1678289,1419785,1520883
00175	SLC4A1	NP_000333.1	Wright blood group Antigen	7812009
00175	SLC4A1	NP_000333.1	Diego blood group Antigen	8206915
00175	SLC4A1	NP_000333.1	Spherocytosis, hereditary, due to band 3 Prague	8282779
00175	SLC4A1	NP_000333.1	Hemolytic anemia due to band 3 Montefiore	8471774
00175	SLC4A1	NP_000333.1	Spherocytosis, hereditary, due to band 3 Chur	8547122
00175	SLC4A1	NP_000333.1	Spherocytosis, hereditary, due to band 3 Noirterre	8567957
00175	SLC4A1	NP_000333.1	Spherocytosis, hereditary, due to band 3 Lyon	8704215
00175	SLC4A1	NP_000333.1	Spherocytosis, hereditary, due to band 3 Genas	8704215
00175	SLC4A1	NP_000333.1	Spherocytosis, hereditary	9207478,10942416
00175	SLC4A1	NP_000333.1	Renal tubular acidosis, distal, autosomal dominant	9312167,8210309,9600966,11756190,698610,12227829
00175	SLC4A1	NP_000333.1	Spherocytosis, hereditary, due to band 3 Fukuoka	9734643
00175	SLC4A1	NP_000333.1	Renal tubular acidosis, distal, autosomal recessive	9854053,10926824,12087557,12938018,15211439
00175	SLC4A1	NP_000333.1	Spherocytosis, hereditary, due to band 3 Tokyo	9973643
00176	BSG	NP_001719.2	Blood group-OK	9130641
00178	CD40	NP_001241.1	Immunodeficiency with hyper-IgM, type 3	11675497,12584544
00181	ADRB1	NP_000675.1	Beta-1-adrenergic receptor polymorphism, gain-of-function	10212248,12374873,16844790
00181	ADRB1	NP_000675.1	Resting heart rate	11854867
00187	ADRB2	NP_000015.1	Beta-2-adrenoreceptor agonist, reduced response to	15284533,16596417
00187	ADRB2	NP_000015.1	Asthma, nocturnal, susceptibility to	7706471,9399966,9522789,15500895,9399946,11739457,15867853,16596417,14557466
00187	ADRB2	NP_000015.1	Obesity, susceptibility to	9399946,12030897,9275150,9522789,9399966,15867853,14557466
00188	ADRB3	NP_000016.1	Obesity, susceptibility to	7609752,8903328,7609750,8954053,9112025,9100608,9709965,9814483,9449691,9054940,10323390,9892244,10323402,10999801,11095426,15472194
00189	B2M	NP_004039.1	Hypoproteinemia, hypercatabolic	4186801,16549777
00192	DARC	NP_001116423.1	Duffy null; FY (A-B-)	7705836
00192	DARC	NP_001116423.1	Duffy A/duffy B polymorphism	7705836,7669660
00193	GYPC	NP_002092.1	Glycophorin C, Yus variant	1991173
00193	GYPC	NP_002092.1	Glycophorin C, Gerbich variant	1991173,5011657,11719395,12469115
00193	GYPC	NP_002092.1	Glycophorin D, Webb variant	3539763,1991173,1902622
00193	GYPC	NP_002092.1	Glycophorin D, Duch variant	7095818,1719701,1413665
00194	KEL	NP_000411.1	KELL null	13477267,11134029
00194	KEL	NP_000411.1	KELL k/k blood group polymorphism	7849312,8652402
00195	SLC14A1	NP_001122060.3	JK-null variant, Finnish type	10942407
00195	SLC14A1	NP_001122060.3	Kidd blood polymorphism JK(A)/JK(B)	9215669
00195	SLC14A1	NP_001122060.3	JK-null variant	9582331,11807016
00196	FUT3	NP_000140.1	Le(-) phenotype	8219240
00197	BCAM	NP_005572.2	Auberger blood group polymorphism AU(A)/AU(B)	9166867
00197	BCAM	NP_005572.2	Lutheran blood group polymorphism LU(A)/LU(B)	9166867,9192786
00198	ICAM4	NP_001034221.1	LW(A)/LW(B) blood group polymorphism	7632968
00199	RHD	NP_057208.2	RHD-negative polymorphism	1824267
00199	RHD	NP_057208.2	RHD category D-VII	7741145
00199	RHD	NP_057208.2	RHD, weak D, type I	9864185
00200	RHCE	NP_065231.2	RH C/c polymorphism	8220426
00200	RHCE	NP_065231.2	Rh E/e polymorphism	8220426
00200	RHCE	NP_065231.2	RH-null disease, amorph type	9657769
00214	BDNF	NP_001137282.1	Central hypoventilation syndrome, congenital	11840487
00214	BDNF	NP_001137282.1	Memory impairment, susceptibility to	12553913,12836135,15115760,15337662,12161822,16172806,16344533
00214	BDNF	NP_001137282.1	Bulimia nervosa, age of onset of weight loss in	15115760
00218	BRCA1	NP_009231.2	Ovarian cancer, sporadic	7795652,10788334
00218	BRCA1	NP_009231.2	Breast-ovarian cancer	7894491,7894492,7550349,8841191,9450187,9536083,9764635,9625172,12220453,16941470,7894493,9150173,10788334,11170903,10196379,8755943,10441573,10417303,9927062,10827109,11039575,8644702,11781691,12014998,11385711,12955716,8942979,12427738
00218	BRCA1	NP_009231.2	Breast cancer	8968716,9585617,10417300
00221	UCP1	NP_068605.1	UCP1 polymorphism	7951471,8968850,9398715,10999801,14671150
00223	COL17A1	NP_000485.3	Epidermolysis bullosa, generalized atrophic benign	7550320,9740252,9038345,9199555,10577906,9012408,9204958,9457913,9457914,7092249,10951237
00223	COL17A1	NP_000485.3	Epidermolysis bullosa, junctional, Localisata variant	9199555
00227	CDH3	NP_001784.2	Hypotrichosis, congenital, with juvenile macular dystrophy	11544476,12445216
00227	CDH3	NP_001784.2	Ectodermal dysplasia, ectrodactyly, and macular dystrophy	15805154
00238	CALCA	NP_001732.1	Osteoporosis	2502220
00239	CALCR	NP_001733.1	Osteoporosis, susceptibility to	9003491,9571205,9817931
00246	CACNA1C	NP_955630.2	Timothy syndrome	15454078,15863612
